primeiro_nome;ultimo_nome;endereco;cidade;estado;pais;aqius;classificacao_aqi
BRENDA;WRIGHT;33 Gorontalo Way;Kamarhati;;;;Desconhecido
AMY;LOPEZ;176 Mandaluyong Place;Jhansi;;;;Desconhecido
ANNA;HILL;127 Purnea (Purnia) Manor;Alessandria;Piedmont;Italy;;Desconhecido
REBECCA;SCOTT;61 Tama Street;Kurashiki;Okayama;Japan;70.0;Moderado (Amarelo)
VIRGINIA;GREEN;391 Callao Drive;Toulouse;Occitanie;France;56.0;Moderado (Amarelo)
KATHLEEN;ADAMS;334 Munger (Monghyr) Lane;Arak;;;;Desconhecido
PAMELA;BAKER;1440 Fukuyama Loop;Nanyang;Henan;China;132.0;Ruim para Grupos Sensíveis (Laranja)
PAMELA;BAKER;1440 Fukuyama Loop;Nanyang;Gansu;China;;Desconhecido
MARTHA;GONZALEZ;269 Cam Ranh Parkway;Chisinau;Chișinău Municipality;Moldova, Republic of;;Desconhecido
DEBRA;NELSON;306 Antofagasta Place;Vila Velha;Espírito Santo;Brazil;;Desconhecido
AMANDA;CARTER;671 Graz Street;Nador;Oriental;Morocco;;Desconhecido
STEPHANIE;MITCHELL;42 Brindisi Place;Yerevan;Yerevan;Armenia;53.0;Moderado (Amarelo)
CAROLYN;PEREZ;1632 Bislig Avenue;Pak Kret;;;;Desconhecido
CHRISTINE;ROBERTS;1447 Imus Way;Faaa;;;;Desconhecido
MARIE;TURNER;1998 Halifax Drive;Lipetsk;;;;Desconhecido
JANET;PHILLIPS;1718 Valencia Street;Antofagasta;Antofagasta;Chile;;Desconhecido
CATHERINE;CAMPBELL;46 Pjatigorsk Lane;Moscow;;;;Desconhecido
FRANCES;PARKER;686 Garland Manor;Juazeiro do Norte;Ceará;Brazil;;Desconhecido
ANN;EVANS;909 Garland Manor;Niznekamsk;;;;Desconhecido
JOYCE;EDWARDS;725 Isesaki Place;Jedda;;;;Desconhecido
DIANE;COLLINS;115 Hidalgo Parkway;Omdurman;;;;Desconhecido
ALICE;STEWART;1135 Izumisano Parkway;Fontana;Chaco;Argentina;;Desconhecido
ALICE;STEWART;1135 Izumisano Parkway;Fontana;Il-Fontana;Malta;;Desconhecido
JULIE;SANCHEZ;939 Probolinggo Loop;A Corua (La Corua);;;;Desconhecido
HEATHER;MORRIS;17 Kabul Boulevard;Nagareyama;Chiba;Japan;50.0;Bom (Verde)
TERESA;ROGERS;1964 Allappuzha (Alleppey) Street;Iwakuni;Yamaguchi;Japan;69.0;Moderado (Amarelo)
DORIS;REED;1697 Kowloon and New Kowloon Loop;Balaiha;;;;Desconhecido
GLORIA;COOK;1668 Saint Louis Place;Papeete;;;;Desconhecido
EVELYN;MORGAN;943 Tokat Street;Vaduz;Vaduz;Liechtenstein;;Desconhecido
JEAN;BELL;1114 Liepaja Street;Kuching;;;;Desconhecido
CHERYL;MURPHY;1213 Ranchi Parkway;Mysore;Karnataka;India;;Desconhecido
MILDRED;BAILEY;81 Hodeida Way;Jaipur;Rajasthan;India;125.0;Ruim para Grupos Sensíveis (Laranja)
KATHERINE;RIVERA;915 Ponce Place;Basel;Basel-City;Switzerland;42.0;Bom (Verde)
JOAN;COOPER;1717 Guadalajara Lane;Saint Louis;;;;Desconhecido
ASHLEY;RICHARDSON;1214 Hanoi Way;Lincoln;Buenos Aires;Argentina;;Desconhecido
ASHLEY;RICHARDSON;1214 Hanoi Way;Lincoln;New Brunswick;Canada;;Desconhecido
ASHLEY;RICHARDSON;1214 Hanoi Way;Lincoln;England;United Kingdom;;Desconhecido
JUDITH;COX;1966 Amroha Avenue;Daxian;;;;Desconhecido
ROSE;HOWARD;698 Otsu Street;Cayenne;Guyane;French Guiana;;Desconhecido
JANICE;WARD;1150 Kimchon Manor;Malm;;;;Desconhecido
KELLY;TORRES;1586 Guaruj Place;Xiangtan;Hunan;China;79.0;Moderado (Amarelo)
NICOLE;PETERSON;57 Arlington Manor;Shivapuri;;;;Desconhecido
JUDY;GRAY;1031 Daugavpils Parkway;Bchar;;;;Desconhecido
CHRISTINA;RAMIREZ;1124 Buenaventura Drive;al-Hawiya;;;;Desconhecido
KATHY;JAMES;492 Cam Ranh Street;Baybay;;;;Desconhecido
THERESA;WATSON;89 Allappuzha (Alleppey) Manor;Taguig;;;;Desconhecido
BEVERLY;BROOKS;1947 Poos de Caldas Boulevard;Chiayi;;;;Desconhecido
DENISE;KELLY;1206 Dos Quebradas Place;Rio Claro;Rio de Janeiro;Brazil;;Desconhecido
DENISE;KELLY;1206 Dos Quebradas Place;Rio Claro;São Paulo;Brazil;50.0;Bom (Verde)
TAMMY;SANDERS;1551 Rampur Lane;Changhwa;;;;Desconhecido
IRENE;PRICE;602 Paarl Street;Pavlodar;Pavlodar Region;Kazakhstan;;Desconhecido
JANE;BENNETT;1692 Ede Loop;Araatuba;;;;Desconhecido
LORI;WOOD;936 Salzburg Lane;Rae Bareli;;;;Desconhecido
RACHEL;BARNES;586 Tete Way;Kamakura;Kanagawa;Japan;56.0;Moderado (Amarelo)
MARILYN;ROSS;1888 Kabul Drive;Ife;;;;Desconhecido
ANDREA;HENDERSON;320 Baiyin Parkway;Mahajanga;Boeny;Madagascar;;Desconhecido
KATHRYN;COLEMAN;927 Baha Blanca Parkway;Simferopol;;;;Desconhecido
LOUISE;JENKINS;929 Tallahassee Loop;Springs;;;;Desconhecido
SARA;PERRY;213 Koinah Pilik;Springs;;;;Desconhecido
ANNE;POWELL;1557 Ktahya Boulevard;Bradford;England;United Kingdom;37.0;Bom (Verde)
JACQUELINE;LONG;870 Ashqelon Loop;Songkhla;;;;Desconhecido
WANDA;PATTERSON;1740 Portoviejo Avenue;Sincelejo;Sucre Department;Colombia;;Desconhecido
BONNIE;HUGHES;1942 Ciparay Parkway;Cheju;;;;Desconhecido
JULIA;FLORES;1926 El Alto Avenue;La Plata;Buenos Aires;Argentina;;Desconhecido
JULIA;FLORES;1926 El Alto Avenue;La Plata;Huila Department;Colombia;;Desconhecido
RUBY;WASHINGTON;1952 Chatsworth Drive;Meixian;Guangdong;China;;Desconhecido
LOIS;BUTLER;1370 Le Mans Avenue;Bandar Seri Begawan;Brunei-Muara District;Brunei Darussalam;;Desconhecido
TINA;SIMMONS;984 Effon-Alaiye Avenue;Goinia;;;;Desconhecido
PHYLLIS;FOSTER;832 Nakhon Sawan Manor;Zalantun;;;;Desconhecido
NORMA;GONZALES;152 Kitwe Parkway;Bislig;;;;Desconhecido
PAULA;BRYANT;1697 Tanauan Lane;Pathankot;;;;Desconhecido
DIANA;ALEXANDER;1308 Arecibo Way;Augusta-Richmond County;;;;Desconhecido
ANNIE;RUSSELL;1599 Plock Drive;Tete;;;;Desconhecido
LILLIAN;GRIFFIN;669 Firozabad Loop;al-Ayn;;;;Desconhecido
EMILY;DIAZ;588 Vila Velha Manor;Kimchon;;;;Desconhecido
ROBIN;HAYES;1913 Kamakura Place;Jelets;;;;Desconhecido
PEGGY;MYERS;733 Mandaluyong Place;Abha;;;;Desconhecido
CRYSTAL;FORD;659 Vaduz Drive;Ashdod;Southern District;Israel;91.0;Moderado (Amarelo)
GLADYS;HAMILTON;1177 Jelets Way;Ilorin;;;;Desconhecido
RITA;GRAHAM;1386 Yangor Avenue;Toulon;Provence-Alpes-Côte d'Azur;France;;Desconhecido
DAWN;SULLIVAN;454 Nakhon Sawan Boulevard;Funafuti;;;;Desconhecido
CONNIE;WALLACE;1867 San Juan Bautista Tuxtepec Avenue;Ivanovo;Ruse;Bulgaria;;Desconhecido
CONNIE;WALLACE;1867 San Juan Bautista Tuxtepec Avenue;Ivanovo;Brest;Belarus;;Desconhecido
FLORENCE;WOODS;1532 Dzerzinsk Way;Merlo;Buenos Aires;Argentina;;Desconhecido
FLORENCE;WOODS;1532 Dzerzinsk Way;Merlo;San Luis;Argentina;;Desconhecido
TRACY;COLE;1002 Ahmadnagar Manor;Huixquilucan;;;;Desconhecido
EDNA;WEST;682 Junan Way;Klerksdorp;;;;Desconhecido
TIFFANY;JORDAN;804 Elista Drive;Enshi;Hubei;China;79.0;Moderado (Amarelo)
CARMEN;OWENS;1378 Alvorada Avenue;Caracas;;;;Desconhecido
ROSA;REYNOLDS;793 Cam Ranh Avenue;Lancaster;England;United Kingdom;28.0;Bom (Verde)
CINDY;FISHER;1079 Tel Aviv-Jaffa Boulevard;Cuman;;;;Desconhecido
GRACE;ELLIS;442 Rae Bareli Place;Duisburg;Flanders;Belgium;;Desconhecido
GRACE;ELLIS;442 Rae Bareli Place;Duisburg;North Rhine-Westphalia;Germany;;Desconhecido
WENDY;HARRISON;1107 Nakhon Sawan Avenue;Nezahualcyotl;;;;Desconhecido
VICTORIA;GIBSON;544 Malm Parkway;Pemalang;Central Java;Indonesia;;Desconhecido
EDITH;MCDONALD;1967 Sincelejo Place;Gandhinagar;Gujarat;India;95.0;Moderado (Amarelo)
KIM;CRUZ;333 Goinia Way;Grand Prairie;;;;Desconhecido
SHERRY;MARSHALL;1987 Coacalco de Berriozbal Loop;Shubra al-Khayma;;;;Desconhecido
SYLVIA;ORTIZ;241 Mosul Lane;Dos Quebradas;;;;Desconhecido
JOSEPHINE;GOMEZ;211 Chiayi Drive;Etawah;;;;Desconhecido
THELMA;MURRAY;1175 Tanauan Way;Lima;;;;Desconhecido
SHANNON;FREEMAN;117 Boa Vista Way;Varanasi (Benares);;;;Desconhecido
SHEILA;WELLS;848 Tafuna Manor;Ktahya;;;;Desconhecido
ETHEL;WEBB;569 Baicheng Lane;Boksburg;;;;Desconhecido
ELLEN;SIMPSON;1666 Qomsheh Drive;Po;;;;Desconhecido
ELAINE;STEVENS;801 Hagonoy Drive;Smolensk;;;;Desconhecido
MARJORIE;TUCKER;1050 Garden Grove Avenue;Jastrzebie-Zdrj;;;;Desconhecido
CARRIE;PORTER;1854 Tieli Street;Liaocheng;Shandong;China;129.0;Ruim para Grupos Sensíveis (Laranja)
CHARLOTTE;HUNTER;758 Junan Lane;guas Lindas de Gois;;;;Desconhecido
MONICA;HICKS;1752 So Leopoldo Parkway;Mukateve;;;;Desconhecido
ESTHER;CRAWFORD;898 Belm Manor;Botshabelo;;;;Desconhecido
PAULINE;HENRY;261 Saint Louis Way;Torren;;;;Desconhecido
EMMA;BOYD;765 Southampton Drive;Qalyub;Qalyubia;Egypt;;Desconhecido
JUANITA;MASON;943 Johannesburg Avenue;Pune;Maharashtra;India;57.0;Moderado (Amarelo)
ANITA;MORALES;788 Atinsk Street;Hubli-Dharwad;;;;Desconhecido
RHONDA;KENNEDY;1749 Daxian Place;Apeldoorn;;;;Desconhecido
HAZEL;WARREN;1587 Sullana Lane;Hohhot;Inner Mongolia;China;107.0;Ruim para Grupos Sensíveis (Laranja)
AMBER;DIXON;1029 Dzerzinsk Manor;Touliu;;;;Desconhecido
EVA;RAMOS;1666 Beni-Mellal Place;Clarksville;;;;Desconhecido
DEBBIE;REYES;928 Jaffna Loop;Fukuyama;Hiroshima;Japan;73.0;Moderado (Amarelo)
APRIL;BURNS;483 Ljubertsy Parkway;Dundee;Scotland;United Kingdom;;Desconhecido
LESLIE;GORDON;374 Bat Yam Boulevard;Kilis;;;;Desconhecido
CLARA;SHAW;1027 Songkhla Manor;Molodetno;;;;Desconhecido
LUCILLE;HOLMES;999 Sanaa Loop;Soshanguve;;;;Desconhecido
JAMIE;RICE;879 Newcastle Way;Sterling Heights;;;;Desconhecido
JOANNE;ROBERTSON;1337 Lincoln Parkway;Urawa;;;;Desconhecido
ELEANOR;HUNT;1952 Pune Lane;Saint-Denis;Wallonia;Belgium;;Desconhecido
ELEANOR;HUNT;1952 Pune Lane;Saint-Denis;Île-de-France;France;;Desconhecido
ELEANOR;HUNT;1952 Pune Lane;Saint-Denis;Aosta Valley;Italy;;Desconhecido
VALERIE;BLACK;782 Mosul Street;Brockton;;;;Desconhecido
DANIELLE;DANIELS;781 Shimonoseki Drive;Hidalgo;Coahuila;Mexico;;Desconhecido
DANIELLE;DANIELS;781 Shimonoseki Drive;Hidalgo;Tamaulipas;Mexico;;Desconhecido
DANIELLE;DANIELS;781 Shimonoseki Drive;Hidalgo;Chiapas;Mexico;;Desconhecido
MEGAN;PALMER;1560 Jelets Boulevard;Laiwu;Shandong;China;;Desconhecido
ALICIA;MILLS;1963 Moscow Place;Nagaon;Assam;India;71.0;Moderado (Amarelo)
SUZANNE;NICHOLS;456 Escobar Way;Jakarta;Jakarta;Indonesia;71.0;Moderado (Amarelo)
MICHELE;GRANT;798 Cianjur Avenue;Yuncheng;Shandong;China;;Desconhecido
MICHELE;GRANT;798 Cianjur Avenue;Yuncheng;Shanxi;China;60.0;Moderado (Amarelo)
GAIL;KNIGHT;185 Novi Sad Place;Bern;Bern;Switzerland;28.0;Bom (Verde)
BERTHA;FERGUSON;1367 Yantai Manor;Ondo;;;;Desconhecido
DARLENE;ROSE;1386 Nakhon Sawan Boulevard;Pyongyang;Pyongyang;Korea, Democratic People's Republic of;;Desconhecido
VERONICA;STONE;369 Papeete Way;Greensboro;;;;Desconhecido
JILL;HAWKINS;1440 Compton Place;Linz;Upper Austria;Austria;32.0;Bom (Verde)
ERIN;DUNN;1623 Baha Blanca Manor;Ljubertsy;;;;Desconhecido
GERALDINE;PERKINS;97 Shimoga Avenue;Tel Aviv-Jaffa;;;;Desconhecido
LAUREN;HUDSON;1740 Le Mans Loop;Le Mans;Pays de la Loire;France;43.0;Bom (Verde)
CATHY;SPENCER;1287 Xiangfan Boulevard;Kakamigahara;Gifu;Japan;55.0;Moderado (Amarelo)
JOANN;GARDNER;842 Salzburg Lane;Tarsus;;;;Desconhecido
LORRAINE;STEPHENS;154 Tallahassee Loop;Hami;Xinjiang;China;;Desconhecido
LYNN;PAYNE;710 San Felipe del Progreso Avenue;Lilongwe;Central Region;Malawi;;Desconhecido
SALLY;PIERCE;1540 Wroclaw Drive;Chandrapur;Chhattisgarh;India;;Desconhecido
SALLY;PIERCE;1540 Wroclaw Drive;Chandrapur;Gujarat;India;;Desconhecido
REGINA;BERRY;475 Atinsk Way;Jinchang;Gansu;China;53.0;Moderado (Amarelo)
REGINA;BERRY;475 Atinsk Way;Jinchang;Shanxi;China;;Desconhecido
ERICA;MATTHEWS;1294 Firozabad Drive;Pingxiang;Gansu;China;;Desconhecido
ERICA;MATTHEWS;1294 Firozabad Drive;Pingxiang;Hebei;China;;Desconhecido
ERICA;MATTHEWS;1294 Firozabad Drive;Pingxiang;Jiangxi;China;62.0;Moderado (Amarelo)
BEATRICE;ARNOLD;1877 Ezhou Lane;Udaipur;Rajasthan;India;130.0;Ruim para Grupos Sensíveis (Laranja)
BEATRICE;ARNOLD;1877 Ezhou Lane;Udaipur;Tripura;India;;Desconhecido
DOLORES;WAGNER;316 Uruapan Street;Ipoh;;;;Desconhecido
BERNICE;WILLIS;29 Pyongyang Loop;Batman;;;;Desconhecido
AUDREY;RAY;1010 Klerksdorp Way;Graz;Styria;Austria;56.0;Moderado (Amarelo)
YVONNE;WATKINS;1848 Salala Boulevard;Ocumare del Tuy;;;;Desconhecido
ANNETTE;OLSON;431 Xiangtan Avenue;Allappuzha (Alleppey);;;;Desconhecido
JUNE;CARROLL;757 Rustenburg Avenue;Skikda;Skikda;Algeria;;Desconhecido
SAMANTHA;DUNCAN;146 Johannesburg Way;Matamoros;Campeche;Mexico;;Desconhecido
MARION;SNYDER;1891 Rizhao Boulevard;Santa Brbara dOeste;;;;Desconhecido
DANA;HART;1089 Iwatsuki Avenue;Kirovo-Tepetsk;;;;Desconhecido
STACY;CUNNINGHAM;1410 Benin City Parkway;Pereira;Risaralda Department;Colombia;;Desconhecido
ANA;BRADLEY;682 Garden Grove Place;Memphis;;;;Desconhecido
RENEE;LANE;533 al-Ayn Boulevard;Compton;England;United Kingdom;;Desconhecido
IDA;ANDREWS;1839 Szkesfehrvr Parkway;Luzinia;;;;Desconhecido
VIVIAN;RUIZ;741 Ambattur Manor;s-Hertogenbosch;;;;Desconhecido
ROBERTA;HARPER;927 Barcelona Street;Shahr-e Kord;Chaharmahal and Bakhtiari;Iran, Islamic Republic of;;Desconhecido
HOLLY;FOX;435 0 Way;Haldia;West Bengal;India;28.0;Bom (Verde)
BRITTANY;RILEY;140 Chiayi Parkway;Sumy;;;;Desconhecido
MELANIE;ARMSTRONG;1166 Changhwa Street;Bayugan;;;;Desconhecido
LORETTA;CARPENTER;891 Novi Sad Manor;Oshawa;Ontario;Canada;13.0;Bom (Verde)
YOLANDA;WEAVER;605 Rio Claro Parkway;Tabora;;;;Desconhecido
JEANETTE;GREENE;1077 San Felipe de Puerto Plata Place;Novoterkassk;;;;Desconhecido
LAURIE;LAWRENCE;9 San Miguel de Tucumn Manor;Firozabad;;;;Desconhecido
KATIE;ELLIOTT;447 Surakarta Loop;Kisumu;Kisumu County;Kenya;;Desconhecido
KRISTEN;CHAVEZ;345 Oshawa Boulevard;Hino;Tokyo;Japan;53.0;Moderado (Amarelo)
KRISTEN;CHAVEZ;345 Oshawa Boulevard;Hino;Shiga;Japan;;Desconhecido
VANESSA;SIMS;1792 Valle de la Pascua Place;Siegen;North Rhine-Westphalia;Germany;;Desconhecido
ALMA;AUSTIN;1074 Binzhou Manor;Mannheim;Baden-Wurttemberg;Germany;;Desconhecido
SUE;PETERS;817 Bradford Loop;Changzhou;Jiangsu;China;96.0;Moderado (Amarelo)
SUE;PETERS;817 Bradford Loop;Changzhou;Guangxi;China;;Desconhecido
ELSIE;KELLEY;955 Bamenda Way;Ikerre;;;;Desconhecido
BETH;FRANKLIN;1149 A Corua (La Corua) Boulevard;Haiphong;;;;Desconhecido
JEANNE;LAWSON;387 Mwene-Ditu Drive;Ashgabat;;;;Desconhecido
VICKI;FIELDS;68 Molodetno Manor;Witten;North Rhine-Westphalia;Germany;;Desconhecido
CARLA;GUTIERREZ;642 Nador Drive;Bhusawal;;;;Desconhecido
TARA;RYAN;1688 Nador Lane;Gorontalo;Gorontalo;Indonesia;59.0;Moderado (Amarelo)
ROSEMARY;SCHMIDT;1215 Pyongyang Parkway;Usak;;;;Desconhecido
EILEEN;CARR;1679 Antofagasta Street;Ciudad del Este;;;;Desconhecido
TERRI;VASQUEZ;1304 s-Hertogenbosch Way;Blumenau;Santa Catarina;Brazil;;Desconhecido
GERTRUDE;CASTILLO;850 Salala Loop;Nuuk;Sermersooq;Greenland;;Desconhecido
LUCY;WHEELER;624 Oshawa Boulevard;Balurghat;;;;Desconhecido
TONYA;CHAPMAN;43 Dadu Avenue;Bhilwara;;;;Desconhecido
ELLA;OLIVER;751 Lima Loop;Aden;;;;Desconhecido
STACEY;MONTGOMERY;1333 Haldia Street;Fuyu;Anhui;China;;Desconhecido
STACEY;MONTGOMERY;1333 Haldia Street;Fuyu;Jilin;China;;Desconhecido
STACEY;MONTGOMERY;1333 Haldia Street;Fuyu;Heilongjiang;China;;Desconhecido
WILMA;RICHARDS;660 Jedda Boulevard;Bellevue;Western Australia;Australia;;Desconhecido
WILMA;RICHARDS;660 Jedda Boulevard;Bellevue;Geneva;Switzerland;;Desconhecido
GINA;WILLIAMSON;1001 Miyakonojo Lane;Taizz;;;;Desconhecido
KRISTIN;JOHNSTON;226 Brest Manor;Sunnyvale;;;;Desconhecido
JESSIE;BANKS;1229 Valencia Parkway;Stara Zagora;Stara Zagora;Bulgaria;48.0;Bom (Verde)
NATALIE;MEYER;1201 Qomsheh Manor;Aparecida de Goinia;;;;Desconhecido
AGNES;BISHOP;866 Shivapuri Manor;Sambhal;Uttar Pradesh;India;;Desconhecido
VERA;MCCOY;1168 Najafabad Parkway;Kabul;Kabul;Afghanistan;102.0;Ruim para Grupos Sensíveis (Laranja)
WILLIE;HOWELL;1244 Allappuzha (Alleppey) Place;Vicente Lpez;;;;Desconhecido
CHARLENE;ALVAREZ;1842 Luzinia Boulevard;Zanzibar;;;;Desconhecido
BESSIE;MORRISON;1926 Gingoog Street;Syrakusa;;;;Desconhecido
DELORES;HANSEN;810 Palghat (Palakkad) Boulevard;Jaroslavl;;;;Desconhecido
MELINDA;FERNANDEZ;1820 Maring Parkway;Mandi Bahauddin;;;;Desconhecido
PEARL;GARZA;60 Poos de Caldas Street;Jodhpur;Rajasthan;India;69.0;Moderado (Amarelo)
PEARL;GARZA;60 Poos de Caldas Street;Jodhpur;Gujarat;India;;Desconhecido
ARLENE;HARVEY;1014 Loja Manor;Ambattur;;;;Desconhecido
MAUREEN;LITTLE;201 Effon-Alaiye Way;Asuncin;;;;Desconhecido
COLLEEN;BURTON;430 Alessandria Loop;Saarbrcken;;;;Desconhecido
ALLISON;STANLEY;754 Valencia Place;Phnom Penh;Phnom Penh;Cambodia;55.0;Moderado (Amarelo)
TAMARA;NGUYEN;356 Olomouc Manor;Anpolis;;;;Desconhecido
JOY;GEORGE;1256 Bislig Boulevard;Botosani;;;;Desconhecido
GEORGIA;JACOBS;954 Kimchon Place;Uttarpara-Kotrung;;;;Desconhecido
CONSTANCE;REID;885 Yingkou Manor;Zaria;;;;Desconhecido
LILLIE;KIM;1736 Cavite Place;Idfu;;;;Desconhecido
CLAUDIA;FULLER;346 Skikda Parkway;Jalib al-Shuyukh;;;;Desconhecido
JACKIE;LYNCH;98 Stara Zagora Boulevard;Buenaventura;Valle del Cauca Department;Colombia;;Desconhecido
JACKIE;LYNCH;98 Stara Zagora Boulevard;Buenaventura;Castille-La Mancha;Spain;;Desconhecido
MARCIA;DEAN;1479 Rustenburg Boulevard;Tanza;;;;Desconhecido
TANYA;GILBERT;647 A Corua (La Corua) Street;Naju;Jeollanam-do;Korea, Republic of;;Desconhecido
NELLIE;GARRETT;1964 Gijn Manor;Shimoga;Karnataka;India;;Desconhecido
MINNIE;ROMERO;47 Syktyvkar Lane;Ciomas;Banten;Indonesia;;Desconhecido
MARLENE;WELCH;1148 Saarbrcken Parkway;Iwaki;Fukushima;Japan;50.0;Bom (Verde)
HEIDI;LARSON;1103 Bilbays Parkway;Xiangfan;;;;Desconhecido
GLENDA;FRAZIER;1246 Boksburg Parkway;Qinhuangdao;Hebei;China;60.0;Moderado (Amarelo)
LYDIA;BURKE;1483 Pathankot Street;San Miguel de Tucumn;;;;Desconhecido
VIOLA;HANSON;582 Papeete Loop;Lapu-Lapu;;;;Desconhecido
COURTNEY;DAY;300 Junan Street;Uijongbu;;;;Desconhecido
MARIAN;MENDOZA;829 Grand Prairie Way;Maring;;;;Desconhecido
STELLA;MORENO;1473 Changhwa Parkway;Coacalco de Berriozbal;;;;Desconhecido
CAROLINE;BOWMAN;1309 Weifang Street;Tallahassee;;;;Desconhecido
DORA;MEDINA;1760 Oshawa Manor;Tianjin;Tianjin;China;101.0;Ruim para Grupos Sensíveis (Laranja)
JO;FOWLER;786 Stara Zagora Way;Oyo;Cuvette;Congo;;Desconhecido
VICKIE;BREWER;1966 Tonghae Street;Halle/Saale;;;;Desconhecido
MATTIE;HOFFMAN;1497 Yuzhou Drive;London;Ontario;Canada;13.0;Bom (Verde)
MATTIE;HOFFMAN;1497 Yuzhou Drive;London;England;United Kingdom;33.0;Bom (Verde)
TERRY;CARLSON;752 Ondo Loop;Miyakonojo;;;;Desconhecido
MAXINE;SILVA;1338 Zalantun Lane;Poos de Caldas;;;;Desconhecido
IRMA;PEARSON;127 Iwakuni Boulevard;Hagonoy;;;;Desconhecido
MABEL;HOLLAND;51 Laredo Avenue;Monywa;Sagaing Region;Myanmar;;Desconhecido
MARSHA;DOUGLAS;771 Yaound Manor;Beira;;;;Desconhecido
MYRTLE;FLEMING;532 Toulon Street;Santiago de los Caballeros;Santiago Province;Dominican Republic;;Desconhecido
LENA;JENSEN;1027 Banjul Place;Halisahar;;;;Desconhecido
CHRISTY;VARGAS;1158 Mandi Bahauddin Parkway;Datong;Anhui;China;;Desconhecido
CHRISTY;VARGAS;1158 Mandi Bahauddin Parkway;Datong;Heilongjiang;China;;Desconhecido
CHRISTY;VARGAS;1158 Mandi Bahauddin Parkway;Datong;Shanxi;China;137.0;Ruim para Grupos Sensíveis (Laranja)
CHRISTY;VARGAS;1158 Mandi Bahauddin Parkway;Datong;Chongqing;China;;Desconhecido
DEANNA;BYRD;862 Xintai Lane;Tuguegarao;;;;Desconhecido
PATSY;DAVIDSON;816 Cayenne Parkway;Portoviejo;Manabí;Ecuador;;Desconhecido
HILDA;HOPKINS;1831 Nam Dinh Loop;Mandaluyong;;;;Desconhecido
